Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G ?
1,James Harden,SG,28,HOU,64,64,35.6,9.2,20.4,0.448,3.8,10.3,0.371,5.3,10.1,0.527,0.542,8.9,10.3,0.863,0.6,4.7,5.3,8.7,1.8,0.7,4.3,2.4,31
2,Anthony Davis,PF,24,NOP,66,66,36.5,10.5,19.4,0.539,0.8,2.3,0.34,9.7,17.1,0.565,0.559,6.5,7.8,0.834,2.5,8.6,11.1,2.3,1.5,2.4,2.2,2.1,28.2
3,LeBron James,PF,33,CLE,71,71,37.2,10.5,19.3,0.545,1.8,4.9,0.369,8.7,14.3,0.606,0.592,4.6,6.3,0.725,1.2,7.5,8.6,9.1,1.5,1,4.3,1.7,27.4
4,Giannis Antetokounmpo,PF,23,MIL,67,67,36.9,10,18.8,0.532,0.5,1.8,0.295,9.5,17,0.557,0.546,6.7,8.8,0.761,2.1,7.9,10,4.8,1.5,1.4,2.9,3.1,27.3
5,Kevin Durant,PF,29,GSW,60,60,34.7,9.4,18,0.52,2.6,6.1,0.43,6.8,11.9,0.566,0.593,5.2,5.9,0.887,0.5,6.3,6.8,5.4,0.8,1.9,3.1,2,26.6
6,Damian Lillard,PG,27,POR,64,64,36.4,8.4,19.1,0.441,3.1,8.5,0.371,5.3,10.6,0.496,0.523,6.7,7.3,0.914,0.7,3.7,4.4,6.5,1,0.4,3,1.6,26.6
7,Stephen Curry,PG,29,GSW,50,50,32.1,8.4,16.9,0.494,4.2,9.9,0.424,4.2,7.1,0.592,0.618,5.4,5.9,0.919,0.7,4.4,5.1,6.2,1.6,0.1,3,2.3,26.3
8,Russell Westbrook,PG,29,OKC,71,71,36.2,9.5,21.1,0.451,1.2,4.1,0.289,8.3,17,0.49,0.479,5.1,7,0.734,1.8,7.8,9.7,10.2,1.8,0.2,4.7,2.4,25.4
9,DeMarcus Cousins,C,27,NOP,48,48,36.2,8.5,18,0.47,2.2,6.1,0.354,6.3,11.9,0.53,0.53,6.1,8.2,0.746,2.2,10.7,12.9,5.4,1.6,1.6,5,3.8,25.2
10,Devin Booker,SG,21,PHO,54,54,34.5,8.4,19.5,0.432,2.7,7.1,0.383,5.7,12.4,0.46,0.501,5.4,6.1,0.878,0.5,4,4.5,4.7,0.9,0.3,3.6,3.1,24.9
11,Kyrie Irving,PG,25,BOS,60,60,32.2,8.9,18.1,0.491,2.8,6.8,0.408,6.1,11.3,0.541,0.568,3.9,4.4,0.889,0.6,3.2,3.8,5.1,1.1,0.3,2.3,2,24.4
12,DeMar DeRozan,SG,28,TOR,71,71,34.1,8.2,17.9,0.46,1.2,3.6,0.323,7.1,14.3,0.494,0.492,6,7.3,0.827,0.8,3.2,4,5.1,1.1,0.3,2.2,1.8,23.6
13,Joel Embiid,C,23,PHI,60,60,30.9,8.3,17.1,0.483,1.1,3.5,0.311,7.2,13.6,0.528,0.515,5.7,7.5,0.77,2.3,8.8,11.1,3.3,0.7,1.8,3.8,3.4,23.4
14,Victor Oladipo,SG,25,IND,66,66,34.1,8.6,18.2,0.471,2.1,5.8,0.367,6.4,12.4,0.52,0.53,4,5,0.805,0.6,4.7,5.3,4.1,2.2,0.8,3,2.3,23.3
15,Bradley Beal,SG,24,WAS,71,71,36.4,8.6,18.4,0.465,2.4,6.5,0.375,6.1,12,0.514,0.531,3.7,4.7,0.792,0.8,3.7,4.4,4.6,1.2,0.5,2.6,1.9,23.2
16,Kemba Walker,PG,27,CHO,71,71,34.8,7.6,17.6,0.431,3,7.6,0.394,4.6,10,0.459,0.516,4.7,5.5,0.857,0.4,2.8,3.3,5.7,1.2,0.3,2.2,1.3,22.9
17,Lou Williams,SG,31,LAC,70,19,32.7,7.4,16.9,0.437,2.5,7,0.359,4.9,10,0.491,0.511,5.5,6.3,0.878,0.5,2,2.5,5.4,1.1,0.2,3,1.4,22.8
18,LaMarcus Aldridge,C,32,SAS,65,65,33.4,9,17.8,0.503,0.4,1.3,0.294,8.6,16.5,0.519,0.513,4.4,5.3,0.837,3.3,5.1,8.4,2.1,0.5,1.1,1.5,2.2,22.7
19,Kristaps Porzingis,PF,22,NYK,48,48,32.4,8.1,18.5,0.439,1.9,4.8,0.393,6.3,13.8,0.455,0.489,4.5,5.7,0.793,1.3,5.3,6.6,1.2,0.8,2.4,1.9,2.9,22.7
20,Jimmy Butler,SG,28,MIN,56,56,37.1,7.4,15.8,0.473,1.2,3.5,0.356,6.2,12.3,0.506,0.512,6.1,7,0.865,1.3,4.1,5.4,5,1.9,0.4,1.8,1.3,22.2
21,Paul George,SF,27,OKC,70,70,36.4,7.4,16.8,0.438,3.1,7.6,0.41,4.3,9.2,0.462,0.531,4,4.9,0.809,0.9,4.8,5.7,3.4,2,0.5,2.7,2.9,21.8
22,Blake Griffin,PF,28,TOT,56,56,34.3,7.6,17.5,0.435,1.9,5.6,0.341,5.7,11.9,0.48,0.49,4.6,5.8,0.789,1.3,6.2,7.5,5.8,0.7,0.3,2.8,2.4,21.7
23,C.J. McCollum,SG,26,POR,70,70,36,8.2,18.4,0.447,2.4,5.9,0.412,5.8,12.5,0.464,0.513,2.7,3.2,0.842,0.6,3.3,3.9,3.2,0.9,0.4,1.8,2.1,21.5
24,Karl-Anthony Towns,C,22,MIN,72,72,35.4,7.6,13.9,0.549,1.4,3.4,0.426,6.2,10.5,0.588,0.601,4.1,4.8,0.856,2.9,9.3,12.2,2.4,0.8,1.4,2,3.4,20.9
